Producto de hour;Etiquetas de columna;;;;;
Etiquetas de fila;1;2;3;4;5;Total general
din1;12:27:00 PM;10:50:00 AM;12:03:00 PM;10:58:00 AM;9:58:00 AM;12:32:08 AM
din2;3:16:00 PM;11:12:00 AM;1:05:00 PM;11:11:00 AM;10:52:00 AM;12:49:10 AM
din3;1:52:00 PM;11:48:00 AM;2:34:00 PM;11:52:00 AM;10:20:00 AM;12:52:51 AM
din4;2:17:00 PM;11:31:00 AM;1:33:00 PM;11:33:00 AM;10:03:00 AM;12:46:47 AM
pexo1;12:51:00 PM;3:28:00 PM;12:50:00 PM;4:04:00 PM;2:57:00 PM;1:50:48 AM
pexo2;1:24:00 PM;3:59:00 PM;1:40:00 PM;4:34:00 PM;3:15:00 PM;2:13:44 AM
sf1;2:00:00 PM;1:50:00 PM;1:53:00 PM;11:59:00 AM;3:02:00 PM;1:27:36 AM
sf2;1:41:00 PM;2:00:00 PM;1:00:00 PM;12:15:00 PM;12:23:00 PM;1:08:19 AM
sf3;1:09:00 PM;2:36:00 PM;1:20:00 PM;12:45:00 PM;2:14:00 PM;1:24:01 AM
sf4;1:08:00 PM;2:36:00 PM;1:25:00 PM;1:04:00 PM;1:59:00 PM;1:25:00 AM
sf5;11:35:00 AM;4:07:00 PM;12:25:00 PM;11:22:00 AM;3:29:00 PM;1:13:47 AM
teu1;11:12:00 AM;4:47:00 PM;12:07:00 PM;12:58:00 PM;12:04:00 PM;1:04:27 AM
teu2;6:05:31 AM;4:53:00 PM;12:25:00 PM;12:40:00 PM;12:31:00 PM;12:36:37 AM
teu3;2:57:00 PM;3:50:00 PM;4:07:00 PM;1:42:00 PM;3:03:00 PM;2:22:15 AM
teu4;1:31:00 PM;3:10:00 PM;3:42:00 PM;3:22:00 PM;5:16:00 PM;2:34:26 AM
teu5;12:19:00 PM;1:56:00 PM;2:23:00 PM;2:42:00 PM;4:45:00 PM;1:49:55 AM
teu6;12:32:00 PM;1:38:00 PM;2:06:00 PM;2:29:00 PM;3:39:00 PM;1:38:46 AM
teu7;1:18:00 PM;1:11:00 PM;1:43:00 PM;2:08:00 PM;3:05:00 PM;1:32:43 AM
teu8;1:55:00 PM;3:33:00 PM;12:44:00 PM;3:42:00 PM;1:04:00 PM;1:42:14 AM
xit1;1:01:00 PM;12:35:00 PM;10:32:00 AM;1:19:00 PM;2:39:00 PM;1:00:52 AM
xit2;11:31:00 AM;10:52:00 AM;12:42:00 PM;11:22:00 AM;3:13:00 PM;12:49:43 AM
xit3;12:10:00 PM;11:47:00 AM;11:36:00 AM;12:14:00 PM;4:03:00 PM;12:59:03 AM
xit4;1:46:00 PM;1:11:00 PM;1:50:00 PM;2:11:00 PM;10:39:00 AM;1:08:35 AM
xit5;2:25:00 PM;2:05:00 PM;2:53:00 PM;2:28:00 PM;11:38:00 AM;1:31:58 AM
xit6;2:26:00 PM;1:41:00 PM;2:30:00 PM;;11:08:00 AM;2:18:23 AM
xit7;2:45:00 PM;3:19:00 PM;;;12:23:00 PM;4:51:25 AM
xochi1;9:38:00 AM;10:04:00 AM;4:14:00 PM;;;2:43:59 AM
xochi2;9:45:00 AM;10:40:00 AM;4:38:00 PM;;;3:00:12 AM
xochi3;9:38:00 AM;10:24:00 AM;4:24:00 PM;;;2:51:09 AM
xochi4;10:13:00 AM;;4:59:00 PM;;;7:13:47 AM
Total general;12:00:00 AM;12:00:00 AM;12:00:00 AM;12:00:00 AM;12:00:00 AM;12:00:00 AM
