Suma de temperature microhabitat min;Etiquetas de columna;;;;;
Etiquetas de fila;1;2;3;4;5;Total general
din1;14;17.2;17.3;12.4;11.9;72.8
din2;16;14.6;17;11.8;11.2;70.6
din3;15;13.3;17;11.3;11.8;68.4
din4;13.5;13;11;10;11.5;59
pexo1;18;17;17.7;20.1;20;92.8
pexo2;18;16.9;15.2;16.4;18;84.5
sf1;18;16;14.8;16.3;12.2;77.3
sf2;14;0;10;8.2;10.2;42.4
sf3;14;0;17.5;12.2;15.6;59.3
sf4;12;0;11;9.6;11.8;44.4
sf5;14;0;10.7;11.9;13.5;50.1
teu1;16.3;15.8;18.2;16.3;18.4;85
teu2;37;16;15;14.9;16.5;99.4
teu3;21;18;17.6;17.1;19;92.7
teu4;18.2;17;17;16.6;16;84.8
teu5;14;17.5;17;22;18;88.5
teu6;19;15;25;19;14.5;92.5
teu7;20;17.5;12.5;18.3;21.3;89.6
teu8;18;20;15.3;17.1;19.2;89.6
xit1;20;13;14.8;12.5;14.5;74.8
xit2;16;15;18;13.2;14.5;76.7
xit3;14;13;15;15;17;74
xit4;14;13.2;13;11.9;8.9;61
xit5;26;11;13.5;11.8;10.4;72.7
xit6;20;14;15;;12.5;61.5
xit7;17.2;18;;;14.5;49.7
xochi1;18;19.4;20.5;;;57.9
xochi2;18.3;18;19;;;55.3
xochi3;18;18.2;18.5;;;54.7
xochi4;16.3;;17.7;;;34
Total general;527.8;397.6;461.8;345.9;382.9;2116
