"id","v1","v2","v3","v4","v5"
"din1",1,0,1,0,1
"din2",0,0,0,0,0
"din3",0,0,0,0,0
"din4",0,NA,0,0,0
"pexo1",1,0,0,1,0
"pexo2",1,0,0,1,1
"sf1",0,0,0,0,1
"sf2",0,0,0,0,0
"sf3",0,0,0,0,0
"sf4",0,0,0,0,0
"sf5",0,1,0,0,1
"teu1",0,0,0,0,0
"teu2",0,0,0,0,0
"teu3",0,0,0,0,0
"teu4",0,0,0,0,0
"teu5",0,0,0,0,0
"teu6",0,0,0,0,1
"teu7",0,0,1,0,0
"teu8",0,0,0,0,0
"xit1",0,0,0,0,0
"xit2",0,0,0,0,0
"xit3",0,0,0,0,0
"xit4",0,0,0,0,0
"xit5",0,0,0,0,0
"xit6",0,0,0,NA,0
"xit7",0,0,NA,NA,0
"xochi1",0,0,0,NA,NA
"xochi2",0,0,0,NA,NA
"xochi3",0,0,0,NA,NA
"xochi4",0,NA,0,NA,NA
