ind;transec;visit;date;hour;abundance_visit;weight obj;Tmicro;Tmax;Tmin
1;teu6;5;25/10/2024;3:41:00 PM;1;4.2;25.5;36;14.5
2;pexo2;5;24/10/2024;3:28:00 PM;4;16.2;24.2;38.1;18
3;pexo2;5;24/10/2024;3:28:00 PM;4;16.2;24.2;38.1;18
4;pexo2;5;24/10/2024;3:28:00 PM;4;4.2;26.8;38.1;18
5;pexo2;5;24/10/2024;3:28:00 PM;4;3.8;24.6;38.1;18
6;sf5;5;16/10/2024;3:31:00 PM;1;32.5;20.1;23.1;13.5
7;sf1;5;16/10/2024;3:03:00 PM;4;20.8;19.4;30.4;12.2
8;sf1;5;16/10/2024;3:03:00 PM;4;20.8;19.4;30.4;12.2
9;sf1;5;16/10/2024;3:03:00 PM;4;20.8;19.4;30.4;12.2
10;sf1;5;16/10/2024;3:03:00 PM;4;20.8;19.4;30.4;12.2
11;pexo2;4;15/10/2024;4:50:00 PM;6;16.2;23.3;26.8;16.4
12;pexo2;4;15/10/2024;4:50:00 PM;6;16.2;23.3;26.8;16.4
13;pexo2;4;15/10/2024;4:50:00 PM;6;18.6;23.5;26.8;16.4
14;pexo2;4;15/10/2024;4:50:00 PM;6;8.2;25.6;26.8;16.4
15;pexo2;4;15/10/2024;4:50:00 PM;6;3.4;24.5;26.8;16.4
16;pexo2;4;15/10/2024;4:50:00 PM;6;17.3;24.6;26.8;16.4
17;pexo1;4;15/10/2024;4:05:00 PM;1;5.4;24.5;30.2;20.1
18;din1;5;15/10/2024;9:58:00 AM;6;8.8;14.2;28.2;11.9
19;din1;5;15/10/2024;9:58:00 AM;6;8.8;14.8;28.2;11.9
20;din1;5;15/10/2024;9:58:00 AM;6;8.8;14.8;28.2;11.9
21;din1;5;15/10/2024;9:58:00 AM;6;8.8;14.8;28.2;11.9
22;din1;5;15/10/2024;9:58:00 AM;6;8.8;14.8;28.2;11.9
23;din1;5;15/10/2024;9:58:00 AM;6;8.8;14.8;28.2;11.9
24;teu7;3;09/10/2024;1:42:00 PM;2;3.2;19.4;33;12.5
25;teu7;3;09/10/2024;1:42:00 PM;2;5.3;20.5;33;12.5
26;din1;3;23/08/2024;12:55:00 PM;4;9.4;17.4;23.2;15.3
27;din1;3;23/08/2024;12:55:00 PM;4;30;15.5;23.2;15.3
28;din1;3;23/08/2024;12:55:00 PM;4;8.3;17.4;23.2;15.3
29;din1;3;23/08/2024;12:55:00 PM;4;3.4;17;23.2;15.3
30;pexo2;1;14/08/2024;1:28:00 PM;1;30;19.2;33;18
31;pexo1;1;14/08/2024;12:53:00 PM;1;8.5;24.2;49;18
32;sf5;2;07/08/2024;4:06:00 PM;1;33;NA;NA;NA
33;din1;1;26/06/2024;12:52:00 PM;4;3.3;17;18;14
34;din1;1;26/06/2024;12:52:00 PM;4;3.3;17;18;14
35;din1;1;26/06/2024;12:52:00 PM;4;9.3;18;18;14
36;din1;1;26/06/2024;12:52:00 PM;4;3.4;17.3;18;14
